Program,Org Name,Site Location,State,Speciality Description,Star Rating,API_Place_Search,API_Place_Detail
DES-Employment Support Service,Jobfind,RICHMOND,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -37.8109529, 'lng': 145.006153}, 'viewport': {'northeast': {'lat': -37.80968182010728, 'lng': 145.0074904798927}, 'southwest': {'lat': -37.81238147989272, 'lng': 145.0047908201073}}}, 'name': 'Jobfind Richmond', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ_RlEPl9D1moRuXlWJmk7in8'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Level 2', 'short_name': 'Level 2', 'types': ['subpremise']}, {'long_name': '585-587', 'short_name': '585-587', 'types': ['street_number']}, {'long_name': 'Victoria Street', 'short_name': 'Victoria St', 'types': ['route']}, {'long_name': 'Abbotsford', 'short_name': 'Abbotsford', 'types': ['locality', 'political']}, {'long_name': 'City of Yarra', 'short_name': 'Yarra', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3067', 'short_name': '3067', 'types': ['postal_code']}], 'formatted_address': 'Level 2/585-587 Victoria St, Abbotsford VIC 3067, Australia', 'formatted_phone_number': '(03) 8512 7150', 'url': 'https://maps.google.com/?cid=9190223312403724729', 'website': 'https://jobfind.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Jobfind,SPRINGVALE,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.9566984, 'lng': 145.1511493}, 'viewport': {'northeast': {'lat': -37.95536072010728, 'lng': 145.1525947298927}, 'southwest': {'lat': -37.95806037989272, 'lng': 145.1498950701072}}}, 'name': 'Direct Recruitment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJGd-zNboU1moRmU4IeKnzOVM'}, {'geometry': {'location': {'lat': -37.9567279, 'lng': 145.1511919}, 'viewport': {'northeast': {'lat': -37.95537807010727, 'lng': 145.1525417298927}, 'southwest': {'lat': -37.95807772989271, 'lng': 145.1498420701072}}}, 'name': 'Jobfind', 'place_id': 'ChIJxZWoNboU1moREsJfBgeIXtg'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '336-338', 'short_name': '336-338', 'types': ['street_number']}, {'long_name': 'Springvale Road', 'short_name': 'Springvale Rd', 'types': ['route']}, {'long_name': 'Springvale', 'short_name': 'Springvale', 'types': ['locality', 'political']}, {'long_name': 'Greater Dandenong City', 'short_name': 'Greater Dandenong', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3171', 'short_name': '3171', 'types': ['postal_code']}], 'formatted_address': '336-338 Springvale Rd, Springvale VIC 3171, Australia', 'formatted_phone_number': '(03) 8512 7100', 'url': 'https://maps.google.com/?cid=5997092288009359001', 'website': 'http://www.directrecruitment.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Joblife Employment,BOX HILL,VIC,All Client Types,1,"[{'candidates': [{'geometry': {'location': {'lat': -37.828898, 'lng': 144.9968559}, 'viewport': {'northeast': {'lat': -37.82757737010728, 'lng': 144.9984471798927}, 'southwest': {'lat': -37.83027702989272, 'lng': 144.9957475201073}}}, 'name': 'Joblife Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ7794Y9FD1moR5m97p_lXLJE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'level 3', 'short_name': 'level 3', 'types': ['subpremise']}, {'long_name': '554', 'short_name': '554', 'types': ['street_number']}, {'long_name': 'Church Street', 'short_name': 'Church St', 'types': ['route']}, {'long_name': 'Richmond', 'short_name': 'Richmond', 'types': ['locality', 'political']}, {'long_name': 'City of Yarra', 'short_name': 'Yarra', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3121', 'short_name': '3121', 'types': ['postal_code']}], 'formatted_address': 'level 3/554 Church St, Richmond VIC 3121, Australia', 'formatted_phone_number': '1800 319 502', 'url': 'https://maps.google.com/?cid=10460832764243177446', 'website': 'http://www.joblifeemployment.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Joblife Employment,CHELSEA,VIC,All Client Types,1,"[{'candidates': [{'geometry': {'location': {'lat': -37.986723, 'lng': 145.2147225}, 'viewport': {'northeast': {'lat': -37.98557717010728, 'lng': 145.2160649798927}, 'southwest': {'lat': -37.98827682989273, 'lng': 145.2133653201072}}}, 'name': 'Joblife Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJA_qBxAkV1moRYD6kuQ_wcgo'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'level 2', 'short_name': 'level 2', 'types': ['subpremise']}, {'long_name': '1/7', 'short_name': '1/7', 'types': ['street_number']}, {'long_name': 'Langhorne Street', 'short_name': 'Langhorne St', 'types': ['route']}, {'long_name': 'Dandenong', 'short_name': 'Dandenong', 'types': ['locality', 'political']}, {'long_name': 'Greater Dandenong City', 'short_name': 'Greater Dandenong', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3175', 'short_name': '3175', 'types': ['postal_code']}], 'formatted_address': 'level 2/1/7 Langhorne St, Dandenong VIC 3175, Australia', 'formatted_phone_number': '1800 319 502', 'url': 'https://maps.google.com/?cid=752928038054018656', 'website': 'http://www.joblifeemployment.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Joblife Employment,DANDENONG,VIC,All Client Types,1,"[{'candidates': [{'geometry': {'location': {'lat': -37.986723, 'lng': 145.2147225}, 'viewport': {'northeast': {'lat': -37.98557717010728, 'lng': 145.2160649798927}, 'southwest': {'lat': -37.98827682989273, 'lng': 145.2133653201072}}}, 'name': 'Joblife Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJA_qBxAkV1moRYD6kuQ_wcgo'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'level 2', 'short_name': 'level 2', 'types': ['subpremise']}, {'long_name': '1/7', 'short_name': '1/7', 'types': ['street_number']}, {'long_name': 'Langhorne Street', 'short_name': 'Langhorne St', 'types': ['route']}, {'long_name': 'Dandenong', 'short_name': 'Dandenong', 'types': ['locality', 'political']}, {'long_name': 'Greater Dandenong City', 'short_name': 'Greater Dandenong', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3175', 'short_name': '3175', 'types': ['postal_code']}], 'formatted_address': 'level 2/1/7 Langhorne St, Dandenong VIC 3175, Australia', 'formatted_phone_number': '1800 319 502', 'url': 'https://maps.google.com/?cid=752928038054018656', 'website': 'http://www.joblifeemployment.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Joblife Employment,DONCASTER,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -37.828898, 'lng': 144.9968559}, 'viewport': {'northeast': {'lat': -37.82757737010728, 'lng': 144.9984471798927}, 'southwest': {'lat': -37.83027702989272, 'lng': 144.9957475201073}}}, 'name': 'Joblife Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ7794Y9FD1moR5m97p_lXLJE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'level 3', 'short_name': 'level 3', 'types': ['subpremise']}, {'long_name': '554', 'short_name': '554', 'types': ['street_number']}, {'long_name': 'Church Street', 'short_name': 'Church St', 'types': ['route']}, {'long_name': 'Richmond', 'short_name': 'Richmond', 'types': ['locality', 'political']}, {'long_name': 'City of Yarra', 'short_name': 'Yarra', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3121', 'short_name': '3121', 'types': ['postal_code']}], 'formatted_address': 'level 3/554 Church St, Richmond VIC 3121, Australia', 'formatted_phone_number': '1800 319 502', 'url': 'https://maps.google.com/?cid=10460832764243177446', 'website': 'http://www.joblifeemployment.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Joblife Employment,EPPING,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -37.652493, 'lng': 145.0235826}, 'viewport': {'northeast': {'lat': -37.65110542010728, 'lng': 145.0248425798927}, 'southwest': {'lat': -37.65380507989272, 'lng': 145.0221429201073}}}, 'name': 'Joblife Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJgw6QhHJP1moRnji4YOhbIJE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Shop 5', 'short_name': 'Shop 5', 'types': ['subpremise']}, {'long_name': '560-610', 'short_name': '560-610', 'types': ['street_number']}, {'long_name': 'High Street', 'short_name': 'High St', 'types': ['route']}, {'long_name': 'Epping', 'short_name': 'Epping', 'types': ['locality', 'political']}, {'long_name': 'Whittlesea City', 'short_name': 'Whittlesea', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3076', 'short_name': '3076', 'types': ['postal_code']}], 'formatted_address': 'Shop 5/560-610 High St, Epping VIC 3076, Australia', 'formatted_phone_number': '1800 319 502', 'url': 'https://maps.google.com/?cid=10457459388367517854', 'website': 'http://www.joblifeemployment.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Joblife Employment,FITZROY NORTH,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.828898, 'lng': 144.9968559}, 'viewport': {'northeast': {'lat': -37.82757737010728, 'lng': 144.9984471798927}, 'southwest': {'lat': -37.83027702989272, 'lng': 144.9957475201073}}}, 'name': 'Joblife Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ7794Y9FD1moR5m97p_lXLJE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'level 3', 'short_name': 'level 3', 'types': ['subpremise']}, {'long_name': '554', 'short_name': '554', 'types': ['street_number']}, {'long_name': 'Church Street', 'short_name': 'Church St', 'types': ['route']}, {'long_name': 'Richmond', 'short_name': 'Richmond', 'types': ['locality', 'political']}, {'long_name': 'City of Yarra', 'short_name': 'Yarra', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3121', 'short_name': '3121', 'types': ['postal_code']}], 'formatted_address': 'level 3/554 Church St, Richmond VIC 3121, Australia', 'formatted_phone_number': '1800 319 502', 'url': 'https://maps.google.com/?cid=10460832764243177446', 'website': 'http://www.joblifeemployment.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Joblife Employment,OAKLEIGH,VIC,All Client Types,New Site,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,Joblife Employment,PORT MELBOURNE,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.828898, 'lng': 144.9968559}, 'viewport': {'northeast': {'lat': -37.82757737010728, 'lng': 144.9984471798927}, 'southwest': {'lat': -37.83027702989272, 'lng': 144.9957475201073}}}, 'name': 'Joblife Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ7794Y9FD1moR5m97p_lXLJE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'level 3', 'short_name': 'level 3', 'types': ['subpremise']}, {'long_name': '554', 'short_name': '554', 'types': ['street_number']}, {'long_name': 'Church Street', 'short_name': 'Church St', 'types': ['route']}, {'long_name': 'Richmond', 'short_name': 'Richmond', 'types': ['locality', 'political']}, {'long_name': 'City of Yarra', 'short_name': 'Yarra', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3121', 'short_name': '3121', 'types': ['postal_code']}], 'formatted_address': 'level 3/554 Church St, Richmond VIC 3121, Australia', 'formatted_phone_number': '1800 319 502', 'url': 'https://maps.google.com/?cid=10460832764243177446', 'website': 'http://www.joblifeemployment.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Joblife Employment,PRESTON,VIC,All Client Types,1,"[{'candidates': [{'geometry': {'location': {'lat': -37.652493, 'lng': 145.0235826}, 'viewport': {'northeast': {'lat': -37.65110542010728, 'lng': 145.0248425798927}, 'southwest': {'lat': -37.65380507989272, 'lng': 145.0221429201073}}}, 'name': 'Joblife Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJgw6QhHJP1moRnji4YOhbIJE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Shop 5', 'short_name': 'Shop 5', 'types': ['subpremise']}, {'long_name': '560-610', 'short_name': '560-610', 'types': ['street_number']}, {'long_name': 'High Street', 'short_name': 'High St', 'types': ['route']}, {'long_name': 'Epping', 'short_name': 'Epping', 'types': ['locality', 'political']}, {'long_name': 'Whittlesea City', 'short_name': 'Whittlesea', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3076', 'short_name': '3076', 'types': ['postal_code']}], 'formatted_address': 'Shop 5/560-610 High St, Epping VIC 3076, Australia', 'formatted_phone_number': '1800 319 502', 'url': 'https://maps.google.com/?cid=10457459388367517854', 'website': 'http://www.joblifeemployment.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Joblife Employment,RICHMOND,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.828898, 'lng': 144.9968559}, 'viewport': {'northeast': {'lat': -37.82757737010728, 'lng': 144.9984471798927}, 'southwest': {'lat': -37.83027702989272, 'lng': 144.9957475201073}}}, 'name': 'Joblife Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ7794Y9FD1moR5m97p_lXLJE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'level 3', 'short_name': 'level 3', 'types': ['subpremise']}, {'long_name': '554', 'short_name': '554', 'types': ['street_number']}, {'long_name': 'Church Street', 'short_name': 'Church St', 'types': ['route']}, {'long_name': 'Richmond', 'short_name': 'Richmond', 'types': ['locality', 'political']}, {'long_name': 'City of Yarra', 'short_name': 'Yarra', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3121', 'short_name': '3121', 'types': ['postal_code']}], 'formatted_address': 'level 3/554 Church St, Richmond VIC 3121, Australia', 'formatted_phone_number': '1800 319 502', 'url': 'https://maps.google.com/?cid=10460832764243177446', 'website': 'http://www.joblifeemployment.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,Joblife Employment,SPRINGVALE,VIC,All Client Types,1,"[{'candidates': [{'geometry': {'location': {'lat': -37.986723, 'lng': 145.2147225}, 'viewport': {'northeast': {'lat': -37.98557717010728, 'lng': 145.2160649798927}, 'southwest': {'lat': -37.98827682989273, 'lng': 145.2133653201072}}}, 'name': 'Joblife Employment', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJA_qBxAkV1moRYD6kuQ_wcgo'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'level 2', 'short_name': 'level 2', 'types': ['subpremise']}, {'long_name': '1/7', 'short_name': '1/7', 'types': ['street_number']}, {'long_name': 'Langhorne Street', 'short_name': 'Langhorne St', 'types': ['route']}, {'long_name': 'Dandenong', 'short_name': 'Dandenong', 'types': ['locality', 'political']}, {'long_name': 'Greater Dandenong City', 'short_name': 'Greater Dandenong', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3175', 'short_name': '3175', 'types': ['postal_code']}], 'formatted_address': 'level 2/1/7 Langhorne St, Dandenong VIC 3175, Australia', 'formatted_phone_number': '1800 319 502', 'url': 'https://maps.google.com/?cid=752928038054018656', 'website': 'http://www.joblifeemployment.com.au/'}, 'status': 'OK'}]"
